Var1,Var2,Player,Position,Team
-1.26026692137996,-0.32135364698956803,Emily Clark,F,Olympic (Women) - Canada
-0.29427287686939363,-0.418366579451003,Meaghan Mikkelson,D,Olympic (Women) - Canada
-1.049444050787731,0.36364209390468466,Sarah Nurse,F,Olympic (Women) - Canada
-1.3889719881933489,0.21282476598567163,Lyudmila Belyakova,F,Olympic (Women) - Olympic Athletes from Russia
6.0529333837898855,-0.939905548497874,Maria Batalova,D,Olympic (Women) - Olympic Athletes from Russia
-0.7663381266021747,0.42407545896660154,Olga Sosina,F,Olympic (Women) - Olympic Athletes from Russia
-0.10401060239942997,3.1479557880913323,Valeria Pavlova,F,Olympic (Women) - Olympic Athletes from Russia
-1.528278278254777,-0.14502793267841196,Laura Stacey,F,Olympic (Women) - Canada
1.2533451344171052,1.3077958300172008,Marie-Philip Poulin,F,Olympic (Women) - Canada
1.6650009840146256,-0.9086084788957122,Renata Fast,D,Olympic (Women) - Canada
-0.28816332992816585,0.5034709676588033,Melodie Daoust,F,Olympic (Women) - Canada
0.12602609738057208,-0.07036405001986089,Yelena Dergachyova,F,Olympic (Women) - Olympic Athletes from Russia
-0.4070815131484644,-0.3876785852740793,Anna Shokhina,F,Olympic (Women) - Olympic Athletes from Russia
-0.5644116876211087,1.0107964141954078,Meghan Agosta,F,Olympic (Women) - Canada
0.9055153054393486,-1.199771592144343,Yekaterina Nikolayeva,D,Olympic (Women) - Olympic Athletes from Russia
1.5836171640141732,0.0969339026737304,Brigette Lacquette,D,Olympic (Women) - Canada
0.1777739632754201,-0.9608417271656601,Angelina Goncharenko,D,Olympic (Women) - Olympic Athletes from Russia
0.8779194639986725,-1.1109858691111993,Liana Ganeyeva,D,Olympic (Women) - Olympic Athletes from Russia
-1.6263998514961098,-0.2850383703772123,Haley Irwin,F,Olympic (Women) - Canada
1.4446273794591016,2.0949152894834153,Rebecca Johnston,F,Olympic (Women) - Canada
3.817346175032663,0.15879263123476672,Laura Fortino,D,Olympic (Women) - Canada
0.10571373515205376,0.7304176359435627,Brianne Jenner,F,Olympic (Women) - Canada
-1.2950227534215464,-0.5316943638392637,Yevgenia Dyupina,F,Olympic (Women) - Olympic Athletes from Russia
-1.406955864691375,-0.3559878401878431,Yekaterina Smolina,F,Olympic (Women) - Olympic Athletes from Russia
-1.0037243409252101,0.33116010415905167,Natalie Spooner,F,Olympic (Women) - Canada
1.6620970095336525,-0.6594827072480327,Jocelyne Larocque,D,Olympic (Women) - Canada
-1.3907507969125446,-0.22053932608346544,Fanuza Kadirova,F,Olympic (Women) - Olympic Athletes from Russia
-1.9552039013923714,-0.3776054723255149,Bailey Bram,F,Olympic (Women) - Canada
-0.255705758069159,-0.43041757294836064,Lauriane Rougeau,D,Olympic (Women) - Canada
-0.5803245923288947,-0.18271091593945352,Nina Pirogova,D,Olympic (Women) - Olympic Athletes from Russia
-1.495511602836745,-0.09524277010034787,Jillian Saulnier,F,Olympic (Women) - Canada
-1.1071436327505904,-0.5372773040072611,Yekaterina Lovova,D,Olympic (Women) - Olympic Athletes from Russia
-1.6588262856076497,-0.044027962657864406,Jennifer Wakefield,F,Olympic (Women) - Canada
-1.2352875699273933,0.021818228149585894,Alevtina Shtaryova,F,Olympic (Women) - Olympic Athletes from Russia
-1.0675337491579027,-0.17028318599983736,Blayre Turnbull,F,Olympic (Women) - Canada
-1.8933432096033675,-0.3671405934664114,Alyona Starovoitova,F,Olympic (Women) - Olympic Athletes from Russia
-1.837390990785047,-0.3109482032752814,Diana Kanayeva,F,Olympic (Women) - Olympic Athletes from Russia
-1.9599503483207763,-0.3834132768095803,Svetlana Tkachyova,D,Olympic (Women) - Olympic Athletes from Russia
-0.4177934340757442,-0.6634497426533853,Isa Rahunen,D,Olympic (Women) - Finland
1.3245585763165084,0.1628565581977931,Minnamari Tuominen,D,Olympic (Women) - Finland
-1.405323895207304,-0.21637504993751688,Venla Hovi,F,Olympic (Women) - Finland
5.106230507568046,-1.182886722755156,Ronja Savolainen,D,Olympic (Women) - Finland
0.548197820881569,-0.7347091776689112,Rosa Lindstedt,D,Olympic (Women) - Finland
-1.341005293615304,-0.272150187373988,Linda Valimaki,F,Olympic (Women) - Finland
10.890153786938761,-0.8783898761917146,Jenni Hiirikoski,D,Olympic (Women) - Finland
-1.8634253062778887,-0.288539217768037,Annina Rajahuhta,F,Olympic (Women) - Finland
-1.938262429859866,-0.37379752896741375,Sanni Hakala,F,Olympic (Women) - Finland
-1.7797368453404951,-0.3056504124137967,Emma Nuutinen,F,Olympic (Women) - Finland
-1.0157231514265737,0.19349362356570776,Noora Tulus,F,Olympic (Women) - Finland
-1.5256160621871482,-0.1873773988194707,Tanja Niskanen,F,Olympic (Women) - Finland
-1.376885745762927,-0.4433785950592929,Mira Jalosuo,D,Olympic (Women) - Finland
1.996344403109389,2.0830563729197347,Susanna Tapani,F,Olympic (Women) - Finland
-0.26293399126928624,-0.053300798901870464,Riikka Sallinen,F,Olympic (Women) - Finland
1.675531469006529,1.6183607247338427,Michelle Karvinen,F,Olympic (Women) - Finland
-0.7831593876949776,0.7068695460706088,Petra Nieminen,F,Olympic (Women) - Finland
-1.878104221828784,-0.29213457963058087,Sara Sakkinen,F,Olympic (Women) - Finland
-1.9483223674150176,-0.3734343727237465,Saila Saari,F,Olympic (Women) - Finland
-0.27048777205968233,0.17739467461974293,Dani Cameranesi,F,Olympic (Women) - United States
1.2665772829519293,1.489677208645962,Brianna Decker,F,Olympic (Women) - United States
0.7960677532199318,-0.05004034555087044,Megan Keller,D,Olympic (Women) - United States
2.8841437335211326,-0.43104154002098416,Emily Pfalzer,D,Olympic (Women) - United States
0.8599770408261955,1.3458069409678959,Kendall Coyne Schofield,F,Olympic (Women) - United States
-0.5193296304807787,-0.12161256803530116,Hannah Brandt,F,Olympic (Women) - United States
-1.7423099568694256,-0.3536180593422942,Kali Flanagan,D,Olympic (Women) - United States
-0.6956069867223519,0.46239578037831547,Kelly Pannek,F,Olympic (Women) - United States
0.19454858235763495,-0.2317747181680951,Sidney Morin,D,Olympic (Women) - United States
2.309661263747235,-0.5918026239831043,Lee Stecklein,D,Olympic (Women) - United States
-1.519997320617795,-0.018662712220117283,Monique Lamoureux,F,Olympic (Women) - United States
-1.838178450392578,-0.2531521118562226,Meghan Duggan,F,Olympic (Women) - United States
-1.8865013732321299,-0.3020280610111215,Amanda Pelkey,F,Olympic (Women) - United States
-1.7867850614974223,-0.1606843953105102,Gigi Marvin,F,Olympic (Women) - United States
0.5082550308742411,-0.1549968328744943,Cayla Barnes,D,Olympic (Women) - United States
3.7355905534094873,6.276970149032834e-05,Kacey Bellamy,D,Olympic (Women) - United States
0.5607925675691119,1.5334782688720834,Hilary Knight,F,Olympic (Women) - United States
-0.6291187983814827,0.7065084083205334,Amanda Kessel,F,Olympic (Women) - United States
-1.585145391908624,0.044104348555894624,Jocelyne Lamoureux,F,Olympic (Women) - United States
-1.9472030322092588,-0.3636180275381849,Haley Skarupa,F,Olympic (Women) - United States
-1.8874508443984332,-0.3711384125369914,Viktoria Kulishova,F,Olympic (Women) - Olympic Athletes from Russia
-1.897213330441177,-0.3849199440574507,Yekaterina Likhachyova,F,Olympic (Women) - Olympic Athletes from Russia
-0.25151988233646644,1.0104216556114394,Kayla Nielsen,F,St. Lawrence Saints
0.18994755705287408,1.626574392884764,Justine Reyes,F,St. Lawrence Saints
7.125666319270878,0.04890407741394065,Ella Shelton,D,Clarkson Golden Knights
2.7205656755270624,-0.12479571044900384,Skylar Podvey,D,St. Lawrence Saints
-0.7814550208990404,0.22003267450027175,Cassidy Vinkle,F,Clarkson Golden Knights
-0.3260526994927154,1.1505089884551976,Taylar Cianfarano,F,Clarkson Golden Knights
14.317637275911476,0.3748565543662785,Taylor Turnquist,D,Clarkson Golden Knights
0.10915738495104767,1.4167817802932545,Rachael Smith,F,St. Lawrence Saints
-0.4823222017538287,0.11808854099474891,Kelly Mariani,F,Clarkson Golden Knights
-0.3254352992028181,0.08755384237554456,Kalie Grant,F,St. Lawrence Saints
3.0254979613882726,3.571982142903235,Loren Gabel,F,Clarkson Golden Knights
0.5183772196936282,-0.6706574784564254,Jacquie Diffley,D,St. Lawrence Saints
1.139783432106795,2.290055451554245,Nadine Edney,F,St. Lawrence Saints
-1.0302537681670614,0.15472032866666438,Maggie McLaughlin,F,St. Lawrence Saints
-0.8894084382395456,0.3004042485271849,Steph Keryluk,F,St. Lawrence Saints
4.808596819851832,0.27691082882754925,Josiane Pozzebon,D,Clarkson Golden Knights
2.0212160941687536,0.7941049536812828,Michala Pejzlova,F,Clarkson Golden Knights
-0.3766052937543781,2.822933699219939,Elizabeth Giguere,F,Clarkson Golden Knights
-1.955363409824817,-0.37533497614739586,Taylor Sawka,F,Clarkson Golden Knights
2.3332434486072304,-0.7328002363152446,Emma Keenan,D,Clarkson Golden Knights
3.2538987518690847,-0.8989193206400101,Lydia Grauer,D,St. Lawrence Saints
-1.3978720323232139,-0.20021684998462047,Morgan Helgeson,F,Clarkson Golden Knights
-0.24156044827385825,-0.10285534840718547,Kristy Pidgeon,F,Clarkson Golden Knights
3.8842862053377893,-1.3565961232160062,Amanda Butterfield,D,St. Lawrence Saints
-0.8265961872326768,-0.20898536769595394,Avery Mitchell,D,Clarkson Golden Knights
-1.350868668432064,-0.40421889319823845,Charlea Pedersen,F,St. Lawrence Saints
-1.4909006725254867,-0.3931206923504017,Tia Stoddard,F,Clarkson Golden Knights
-1.295589587963125,-0.45977146207008845,Jessica Poirier,F,St. Lawrence Saints
-0.2806001601401807,-0.7022800485724382,Claire Dudley,D,St. Lawrence Saints
-0.18330151309533832,-0.7080122593660224,Kristen Guerriero,D,St. Lawrence Saints
-1.426154983503572,-0.1409648456301958,Natalie Wozney,F,St. Lawrence Saints
-1.933445595115491,-0.3923068948450438,Stephanie Voge,F,St. Lawrence Saints
-1.9611177670139157,-0.3812595384290629,Brittany Howard,F,Olympic (Women) - Canada
0.8127886300480083,-0.7476800868738127,Megan Bozek,D,Olympic (Women) - United States
-1.8405098268345124,-0.3870657844690924,Rebecca Leslie,F,Olympic (Women) - Canada
0.8952997362757695,-0.15916303998491943,Erin Ambrose,D,Olympic (Women) - Canada
-1.5202126292309082,-0.33215927685087854,Halli Krzyzaniak,D,Olympic (Women) - Canada
-1.5902052234875685,-0.5169832997790393,Savannah Harmon,D,Olympic (Women) - United States
-1.5283612739600374,-0.3434260533417351,Hayley Scamurra,F,Olympic (Women) - United States
-1.8509733757811433,-0.3031098685466665,Jamie Lee Rattray,F,Olympic (Women) - Canada
-1.9192554691585115,-0.37322952882508104,Dana Trivigno,F,Olympic (Women) - United States
-0.9075379537123748,-0.03520266104164324,Alex Carpenter,F,Olympic (Women) - United States
-1.956197830559478,-0.372783279252775,Zoe Hickel,F,Olympic (Women) - United States
-1.2622613406106753,-0.47422936198476295,Shelly Picard,D,Olympic (Women) - United States
-1.4391725386067193,-0.1666194443734999,Ann-Sophie Bettez,F,Olympic (Women) - Canada
-1.8610720016834916,-0.3021447829182742,Victoria Bach,F,Olympic (Women) - Canada
-1.956545880950193,-0.38309203506878753,Katelyn Gosling,D,Olympic (Women) - Canada
