Player,Position,Team,Shot Index,PSA Index,Passing Index,Entry Index,Danger Pass Index,Danger Shot Index,Takeaways Index,Puck Recovery Index
Meaghan Mikkelson,D,Olympic (Women) - Canada,0.029542097488921712,0.008443271767810026,0.9112500000000001,0.017162872154115584,0.013123359580052493,0.0006756756756756757,0.02714681440443213,0.6694272445820434
Maria Batalova,D,Olympic (Women) - Olympic Athletes from Russia,0.211864406779661,0.8571428571428571,3.7377777777777776,0.07258064516129031,0.03125,0.0,0.21551724137931036,3.862068965517241
Renata Fast,D,Olympic (Women) - Canada,0.07149187592319055,0.026385224274406333,1.809025,0.06322241681260946,0.012860892388451445,0.0030405405405405407,0.20193905817174515,1.8223297213622291
Yekaterina Nikolayeva,D,Olympic (Women) - Olympic Athletes from Russia,0.00847457627118644,0.0,2.0544444444444445,0.0,0.03125,0.0,0.21551724137931036,1.685960591133005
Brigette Lacquette,D,Olympic (Women) - Canada,0.46322008862629244,0.15197889182058047,2.576025,0.0043782837127845885,0.0758530183727034,0.0013513513513513514,0.110803324099723,1.2399767801857584
Angelina Goncharenko,D,Olympic (Women) - Olympic Athletes from Russia,0.03389830508474576,0.0,1.21,0.03225806451612903,0.0,0.0,0.034482758620689655,1.2610837438423645
Liana Ganeyeva,D,Olympic (Women) - Olympic Athletes from Russia,0.00847457627118644,0.0,2.0544444444444445,0.0,0.0,0.0,0.4224137931034483,1.5960591133004927
Laura Fortino,D,Olympic (Women) - Canada,0.32629246676514034,0.25356200527704487,4.2025,0.0394045534150613,0.05905511811023621,0.057094594594594594,0.18725761772853186,2.0294504643962847
Jocelyne Larocque,D,Olympic (Women) - Canada,0.09231905465288036,0.03799472295514512,2.146225,0.04483362521891418,0.009448818897637795,0.0013513513513513514,0.13407202216066483,1.6263544891640866
Lauriane Rougeau,D,Olympic (Women) - Canada,0.007385524372230428,0.008443271767810026,0.93845,0.012609457092819614,0.013123359580052493,0.010810810810810811,0.01994459833795014,0.6839009287925696
Nina Pirogova,D,Olympic (Women) - Olympic Athletes from Russia,0.13559322033898305,0.09523809523809523,1.0677777777777777,0.03225806451612903,0.0,0.1111111111111111,0.21551724137931036,0.5431034482758621
Yekaterina Lovova,D,Olympic (Women) - Olympic Athletes from Russia,0.00847457627118644,0.023809523809523808,0.8711111111111111,0.0,0.0,0.0,0.13793103448275862,0.4445812807881773
Svetlana Tkachyova,D,Olympic (Women) - Olympic Athletes from Russia,0.0,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0024630541871921183
Isa Rahunen,D,Olympic (Women) - Finland,0.0101010101010101,0.0,0.9220430107526881,0.009389671361502348,0.0,0.0,0.05442176870748299,0.7877892663712457
Minnamari Tuominen,D,Olympic (Women) - Finland,0.6464646464646464,0.12626262626262627,2.160138248847926,0.08450704225352113,0.16025641025641027,0.008333333333333333,0.08503401360544217,1.2806499261447561
Ronja Savolainen,D,Olympic (Women) - Finland,0.3055555555555555,0.0202020202020202,2.9066820276497696,0.11502347417840375,0.025641025641025644,0.075,0.21768707482993196,3.4741506646971936
Rosa Lindstedt,D,Olympic (Women) - Finland,0.022727272727272728,0.0,1.3367895545314898,0.02112676056338028,0.006410256410256411,0.03333333333333333,0.21768707482993196,1.2309207287050714
Jenni Hiirikoski,D,Olympic (Women) - Finland,0.9116161616161617,0.3232323232323232,6.895545314900153,0.284037558685446,0.006410256410256411,0.03333333333333333,0.05442176870748299,5.849827671097981
Mira Jalosuo,D,Olympic (Women) - Finland,0.12121212121212122,0.0,0.25921658986175117,0.007042253521126761,0.019230769230769232,0.0,0.04081632653061224,0.33234859675036926
Megan Keller,D,Olympic (Women) - United States,0.26397205588822353,0.08650519031141869,1.9250801282051282,0.03902439024390244,0.016877637130801686,0.06347150259067356,0.08580508474576272,0.9809486780715396
Emily Pfalzer,D,Olympic (Women) - United States,0.2566295979469632,0.12654473554127532,2.907692307692308,0.06829268292682927,0.048824593128390596,0.03626943005181347,0.1549636803874092,2.0653928756572615
Kali Flanagan,D,Olympic (Women) - United States,0.008982035928143714,0.0017301038062283738,0.14423076923076925,0.03048780487804878,0.0189873417721519,0.010362694300518135,0.07627118644067797,0.10368066355624676
Sidney Morin,D,Olympic (Women) - United States,0.17604790419161676,0.033910034602076124,1.4616025641025643,0.0175609756097561,0.054008438818565395,0.0010362694300518134,0.0211864406779661,0.802903058579575
Lee Stecklein,D,Olympic (Women) - United States,0.20786997433704021,0.04943153732081068,2.838873626373626,0.008710801393728223,0.0216998191681736,0.006661732050333087,0.21852300242130748,1.8487743464415316
Cayla Barnes,D,Olympic (Women) - United States,0.16167664670658682,0.19463667820069203,1.4603365384615383,0.01524390243902439,0.0379746835443038,0.011658031088082901,0.01694915254237288,0.9144634525660964
Kacey Bellamy,D,Olympic (Women) - United States,0.5520387795836897,0.2179930795847751,4.0388736263736265,0.028222996515679437,0.038577456298975285,0.002960769800148039,0.1549636803874092,2.165518773605865
Ella Shelton,D,Clarkson Golden Knights,0.8663101604278074,0.1179245283018868,4.430769230769231,0.2119205298013245,0.006024096385542169,0.007462686567164179,0.3181818181818182,3.6
Skylar Podvey,D,St. Lawrence Saints,0.413265306122449,0.045454545454545456,1.8056640625,0.34782608695652173,0.011111111111111112,0.046511627906976744,0.2727272727272727,2.029350104821803
Taylor Turnquist,D,Clarkson Golden Knights,1.2572786690433748,1.211740041928721,8.436004273504272,0.6188373804267845,0.43373493975903615,0.13432835820895522,0.6984126984126984,7.199999999999999
Jacquie Diffley,D,St. Lawrence Saints,0.0,0.0,1.41015625,0.021739130434782608,0.011111111111111112,0.0,0.030303030303030304,1.1415094339622642
Josiane Pozzebon,D,Clarkson Golden Knights,0.1711229946524064,0.3820754716981132,4.430769230769231,0.052980132450331126,0.05421686746987951,0.007462686567164179,0.1038961038961039,2.25625
Emma Keenan,D,Clarkson Golden Knights,0.1711229946524064,0.0047169811320754715,2.0942307692307693,0.052980132450331126,0.0,0.0,0.16233766233766234,1.9506944444444445
Lydia Grauer,D,St. Lawrence Saints,0.25,0.045454545454545456,1.9775390625,0.08695652173913043,0.044444444444444446,0.0,0.3712121212121212,2.5167714884696015
Amanda Butterfield,D,St. Lawrence Saints,0.08163265306122448,0.045454545454545456,1.890625,0.021739130434782608,0.011111111111111112,0.0,0.1893939393939394,2.944444444444444
Avery Mitchell,D,Clarkson Golden Knights,0.09625668449197862,0.018867924528301886,0.73125,0.08278145695364239,0.0,0.0,0.05844155844155844,0.4
Claire Dudley,D,St. Lawrence Saints,0.00510204081632653,0.0,0.765625,0.005434782608695652,0.044444444444444446,0.0,0.007575757575757576,0.8815513626834381
Kristen Guerriero,D,St. Lawrence Saints,0.02040816326530612,0.011363636363636364,0.8212890625,0.19565217391304346,0.011111111111111112,0.0,0.06818181818181818,1.0733752620545074
Megan Bozek,D,Olympic (Women) - United States,0.19321357285429144,0.01730103806228374,1.1682692307692308,0.023902439024390248,0.013502109704641349,0.016580310880829015,0.05423728813559322,1.419284603421462
Erin Ambrose,D,Olympic (Women) - Canada,0.23161004431314622,0.0891820580474934,1.67445,0.008756567425569177,0.10288713910761156,0.05472972972972974,0.04487534626038782,1.0960526315789472
