,Player,Position,Team,Shot Index,PSA Index,Passing Index,Entry Index,Danger Pass Index,Danger Shot Index,Takeaways Index,Puck Recovery Index
0,Emily Clark,F,Olympic (Women) - Canada,0.0413589364844904,0.037693177534866194,0.3360357142857143,0.11033274956217162,0.03749531308586427,0.004343629343629344,0.07756232686980609,0.3538257408226449
1,Sarah Nurse,F,Olympic (Women) - Canada,0.27311669128508126,0.05171503957783641,0.43560000000000004,0.38686514886164625,0.10498687664041995,0.22837837837837838,0.05429362880886426,0.4026315789473684
2,Lyudmila Belyakova,F,Olympic (Women) - Olympic Athletes from Russia,0.3050847457627119,0.023809523809523808,0.40111111111111114,0.12903225806451613,0.03125,0.4444444444444444,0.07758620689655173,0.2770935960591133
3,Olga Sosina,F,Olympic (Women) - Olympic Athletes from Russia,0.847457627118644,0.38095238095238093,1.21,0.12903225806451613,0.125,0.0,0.07758620689655173,0.5431034482758621
4,Valeria Pavlova,F,Olympic (Women) - Olympic Athletes from Russia,1.2203389830508475,0.0,0.4444444444444445,1.161290322580645,0.03125,2.25,0.07758620689655173,0.7697044334975369
5,Laura Stacey,F,Olympic (Women) - Canada,0.0998522895125554,0.03799472295514512,0.164025,0.1373029772329247,0.02125984251968504,0.040878378378378384,0.046814404432132965,0.18424922600619195
6,Marie-Philip Poulin,F,Olympic (Women) - Canada,0.280834564254062,0.7598944591029024,2.57403125,0.4238178633975482,0.2572178477690289,0.16891891891891891,0.3545706371191136,0.8816273219814241
7,Melodie Daoust,F,Olympic (Women) - Canada,0.1654357459379616,0.19939690915944214,1.4001428571428571,0.2251688766574931,0.19835020622422198,0.277992277992278,0.0478828650573803,0.5201791242812915
8,Yelena Dergachyova,F,Olympic (Women) - Olympic Athletes from Russia,0.07627118644067797,0.09523809523809523,1.1377777777777778,0.3951612903225806,0.28125,0.1111111111111111,0.13793103448275862,1.1083743842364533
9,Anna Shokhina,F,Olympic (Women) - Olympic Athletes from Russia,0.211864406779661,0.0,1.21,0.20161290322580644,0.28125,0.0,0.21551724137931036,0.9655172413793103
10,Meghan Agosta,F,Olympic (Women) - Canada,0.44933530280649925,0.27915567282321896,0.72,0.6178633975481611,0.3826771653543307,0.19527027027027027,0.07977839335180056,0.5592105263157895
11,Haley Irwin,F,Olympic (Women) - Canada,0.029542097488921712,0.025857519788918204,0.23805,0.008756567425569177,0.04251968503937008,0.05472972972972974,0.00886426592797784,0.13010835913312693
12,Rebecca Johnston,F,Olympic (Women) - Canada,0.8757754800590842,0.42216358839050133,2.1756249999999997,0.8581436077057792,0.6047244094488189,0.595945945945946,0.07091412742382272,1.2399767801857584
13,Brianne Jenner,F,Olympic (Women) - Canada,0.4307237813884786,0.16490765171503957,1.199025,0.4035026269702277,0.379002624671916,0.3679054054054054,0.21717451523545703,0.8823916408668732
14,Yevgenia Dyupina,F,Olympic (Women) - Olympic Athletes from Russia,0.03389830508474576,0.0,0.07111111111111111,0.03225806451612903,0.0,0.0,0.0,0.39901477832512317
15,Yekaterina Smolina,F,Olympic (Women) - Olympic Athletes from Russia,0.03389830508474576,0.023809523809523808,0.21777777777777776,0.12903225806451613,0.0,0.0,0.21551724137931036,0.31527093596059114
16,Natalie Spooner,F,Olympic (Women) - Canada,0.2859675036927622,0.031926121372031664,0.49702499999999994,0.33905429071803855,0.3401574803149606,0.1787162162162162,0.14653739612188366,0.4854489164086687
17,Fanuza Kadirova,F,Olympic (Women) - Olympic Athletes from Russia,0.06779661016949153,0.0,0.22222222222222224,0.25806451612903225,0.0625,0.0,0.017241379310344827,0.35467980295566504
18,Bailey Bram,F,Olympic (Women) - Canada,0.0033234859675036928,0.0006596306068601583,0.0022500000000000003,0.0,0.0,0.0033783783783783786,0.0,0.00348297213622291
19,Jillian Saulnier,F,Olympic (Women) - Canada,0.047858197932053176,0.13957783641160948,0.342225,0.10087565674255691,0.06719160104986877,0.033783783783783786,0.06232686980609418,0.1635061919504644
20,Jennifer Wakefield,F,Olympic (Women) - Canada,0.17016248153618907,0.025857519788918204,0.1352,0.1264448336252189,0.06351706036745407,0.0972972972972973,0.013850415512465375,0.13010835913312693
21,Alevtina Shtaryova,F,Olympic (Women) - Olympic Athletes from Russia,0.00847457627118644,0.21428571428571427,0.5377777777777778,0.29032258064516125,0.03125,0.027777777777777776,0.13793103448275862,0.31527093596059114
22,Blayre Turnbull,F,Olympic (Women) - Canada,0.059084194977843424,0.03799472295514512,0.43560000000000004,0.22697022767075306,0.026246719160104987,0.02736486486486487,0.07091412742382272,0.41857585139318887
23,Alyona Starovoitova,F,Olympic (Women) - Olympic Athletes from Russia,0.00847457627118644,0.0,0.05444444444444444,0.03225806451612903,0.0,0.0,0.0,0.04433497536945813
24,Diana Kanayeva,F,Olympic (Women) - Olympic Athletes from Russia,0.00847457627118644,0.023809523809523808,0.07111111111111111,0.07258064516129031,0.03125,0.0,0.008620689655172414,0.07881773399014778
25,Venla Hovi,F,Olympic (Women) - Finland,0.06313131313131314,0.00505050505050505,0.34562211981566826,0.15023474178403756,0.10256410256410257,0.008333333333333333,0.16666666666666666,0.28360413589364847
26,Linda Valimaki,F,Olympic (Women) - Finland,0.0404040404040404,0.0808080808080808,0.2031490015360983,0.11502347417840375,0.025641025641025644,0.008333333333333333,0.2755102040816327,0.30773018217626785
27,Annina Rajahuhta,F,Olympic (Women) - Finland,0.022727272727272728,0.00505050505050505,0.03110599078341014,0.03755868544600939,0.05769230769230769,0.008333333333333333,0.03061224489795918,0.03988183161004431
28,Sanni Hakala,F,Olympic (Women) - Finland,0.003787878787878788,0.0,0.014400921658986175,0.0,0.0,0.0125,0.00510204081632653,0.011816838995568686
29,Emma Nuutinen,F,Olympic (Women) - Finland,0.0101010101010101,0.0202020202020202,0.13863287250384027,0.03755868544600939,0.05769230769230769,0.008333333333333333,0.003401360544217687,0.08321024126046282
30,Noora Tulus,F,Olympic (Women) - Finland,0.06313131313131314,0.40909090909090906,0.8483102918586789,0.08450704225352113,0.05769230769230769,0.03333333333333333,0.03061224489795918,0.2171344165435746
31,Tanja Niskanen,F,Olympic (Women) - Finland,0.09090909090909091,0.0202020202020202,0.12442396313364056,0.11502347417840375,0.0,0.075,0.03061224489795918,0.19694731659281142
32,Susanna Tapani,F,Olympic (Women) - Finland,0.3055555555555555,0.611111111111111,2.8402457757296466,1.136150234741784,0.5192307692307693,0.6749999999999999,0.3401360544217687,1.4894140817331365
33,Riikka Sallinen,F,Olympic (Women) - Finland,0.0404040404040404,0.12626262626262627,1.0787250384024578,0.11502347417840375,0.23076923076923075,0.13333333333333333,0.08503401360544217,0.7109798129000492
34,Michelle Karvinen,F,Olympic (Women) - Finland,0.5681818181818181,0.18181818181818182,2.6455453149001538,0.8474178403755868,0.6410256410256411,0.03333333333333333,0.16666666666666666,1.1344165435745939
35,Petra Nieminen,F,Olympic (Women) - Finland,0.25252525252525254,0.0808080808080808,0.3932411674347158,0.6784037558685446,0.006410256410256411,0.3,0.3401360544217687,0.47316592811422936
36,Sara Sakkinen,F,Olympic (Women) - Finland,0.030303030303030304,0.0,0.010368663594470046,0.06338028169014084,0.019230769230769232,0.0,0.0,0.03692762186115214
37,Saila Saari,F,Olympic (Women) - Finland,0.0,0.015151515151515152,0.010368663594470046,0.0,0.0,0.0,0.04081632653061224,0.005908419497784343
38,Dani Cameranesi,F,Olympic (Women) - United States,0.15084117479327058,0.2179930795847751,1.2315018315018316,0.35679442508710807,0.135623869801085,0.12509252405625462,0.08716707021791768,0.7704954454565652
39,Brianna Decker,F,Olympic (Women) - United States,0.34930139720558884,0.5714285714285714,2.4221611721611724,0.705574912891986,0.21760096443640747,0.16654330125832714,0.5447941888619854,0.9124638969117974
40,Kendall Coyne Schofield,F,Olympic (Women) - United States,0.45623039635015683,0.12654473554127532,1.450732600732601,1.1721254355400694,0.47257383966244726,0.26720947446336046,0.1961259079903148,1.2903799155743167
41,Hannah Brandt,F,Olympic (Women) - United States,0.07485029940119761,0.11303344867358708,1.201923076923077,0.07967479674796749,0.20323488045007032,0.10449050086355786,0.1016949152542373,0.624243995161569
42,Kelly Pannek,F,Olympic (Women) - United States,0.1277445109780439,0.3814878892733564,0.7539262820512821,0.3225609756097561,0.17827004219409284,0.10492227979274611,0.06779661016949153,0.43597719025401765
43,Monique Lamoureux,F,Olympic (Women) - United States,0.08083832335329341,0.0847750865051903,0.3391025641025641,0.12195121951219512,0.03375527426160337,0.023316062176165803,0.03389830508474576,0.08398133748055989
44,Meghan Duggan,F,Olympic (Women) - United States,0.035928143712574856,0.02768166089965398,0.09230769230769231,0.01951219512195122,0.0189873417721519,0.06476683937823834,0.07627118644067797,0.03732503888024884
45,Amanda Pelkey,F,Olympic (Women) - United States,0.02554890219560878,0.0,0.046730769230769235,0.04878048780487805,0.013502109704641349,0.00932642487046632,0.003389830508474576,0.029963711767755315
46,Gigi Marvin,F,Olympic (Women) - United States,0.040419161676646706,0.04238754325259515,0.09815705128205128,0.11951219512195123,0.00949367088607595,0.06347150259067356,0.009533898305084746,0.06855883877656817
47,Hilary Knight,F,Olympic (Women) - United States,0.6569717707442259,0.28472565496786945,1.4835164835164836,0.6745644599303136,0.4394213381555154,0.3915618060695781,0.02179176755447942,0.8478856550396208
48,Amanda Kessel,F,Olympic (Women) - United States,0.17821499857428003,0.36035590706870985,1.0440018315018313,0.4515679442508711,0.17420132610006028,0.18948926720947448,0.11864406779661017,0.43908761016070497
49,Jocelyne Lamoureux,F,Olympic (Women) - United States,0.08083832335329341,0.06228373702422145,0.45016025641025637,0.1475609756097561,0.1350210970464135,0.06476683937823834,0.00847457627118644,0.0935717988595127
50,Haley Skarupa,F,Olympic (Women) - United States,0.00998003992015968,0.0,0.009230769230769233,0.001951219512195122,0.003375527426160337,0.00932642487046632,0.003389830508474576,0.005080352514256091
51,Viktoria Kulishova,F,Olympic (Women) - Olympic Athletes from Russia,0.0,0.0,0.05555555555555556,0.016129032258064516,0.0625,0.0,0.017241379310344827,0.06157635467980296
52,Yekaterina Likhachyova,F,Olympic (Women) - Olympic Athletes from Russia,0.0,0.0,0.008888888888888889,0.016129032258064516,0.0,0.0,0.0,0.03940886699507389
53,Kayla Nielsen,F,St. Lawrence Saints,0.5102040816326531,0.5568181818181818,0.87890625,0.19565217391304346,0.1,0.5697674418604651,0.12121212121212122,0.5545073375262055
54,Justine Reyes,F,St. Lawrence Saints,0.6173469387755102,0.28409090909090906,1.0,1.065217391304348,0.5444444444444445,0.41860465116279066,0.1893939393939394,1.0073375262054507
55,Cassidy Vinkle,F,Clarkson Golden Knights,0.1711229946524064,0.07547169811320754,0.6230769230769231,0.2682119205298013,0.21686746987951805,0.18656716417910446,0.3181818181818182,0.50625
56,Taylar Cianfarano,F,Clarkson Golden Knights,0.3235294117647059,0.1179245283018868,0.73125,0.847682119205298,0.0963855421686747,0.47761194029850745,0.23376623376623376,0.625
