,Player,Position,Team,Games Played,Shots,Goals,Total Shots,Shot Assists,Goal Assists,Primary Assists,Complete Passes,Incomplete Passes,Takeaways,Puck Recoveries,Zone Carries,Retained Dump Ins,Played Entries,Danger Passes,Danger Shots
0,Emily Clark,F,Olympic (Women) - Canada,7,14.0,1.0,15.0,10.0,0.0,10.0,63.0,34.0,14.0,80.0,13.0,4.0,4.0,10.0,3.0
1,Sarah Nurse,F,Olympic (Women) - Canada,10,43.0,2.0,45.0,14.0,0.0,14.0,88.0,44.0,14.0,102.0,39.0,2.0,6.0,20.0,26.0
2,Lyudmila Belyakova,F,Olympic (Women) - Olympic Athletes from Russia,2,6.0,0.0,6.0,1.0,0.0,1.0,10.0,9.0,3.0,15.0,4.0,0.0,0.0,1.0,4.0
3,Olga Sosina,F,Olympic (Women) - Olympic Athletes from Russia,2,10.0,0.0,10.0,4.0,0.0,4.0,17.0,16.0,3.0,21.0,4.0,0.0,0.0,2.0,0.0
4,Valeria Pavlova,F,Olympic (Women) - Olympic Athletes from Russia,2,12.0,0.0,12.0,0.0,0.0,0.0,14.0,6.0,3.0,25.0,11.0,0.0,1.0,1.0,9.0
5,Laura Stacey,F,Olympic (Women) - Canada,10,26.0,0.0,26.0,9.0,3.0,12.0,63.0,18.0,13.0,69.0,22.0,4.0,2.0,9.0,11.0
6,Marie-Philip Poulin,F,Olympic (Women) - Canada,8,39.0,4.0,43.0,47.0,1.0,48.0,231.0,56.0,32.0,135.0,32.0,2.0,10.0,28.0,20.0
7,Melodie Daoust,F,Olympic (Women) - Canada,7,28.0,3.0,31.0,21.0,2.0,23.0,152.0,46.0,11.0,97.0,20.0,4.0,6.0,23.0,24.0
8,Yelena Dergachyova,F,Olympic (Women) - Olympic Athletes from Russia,2,3.0,0.0,3.0,2.0,0.0,2.0,19.0,13.0,4.0,30.0,4.0,2.0,1.0,3.0,2.0
9,Anna Shokhina,F,Olympic (Women) - Olympic Athletes from Russia,2,5.0,0.0,5.0,0.0,0.0,0.0,15.0,18.0,5.0,28.0,4.0,1.0,0.0,3.0,0.0
10,Meghan Agosta,F,Olympic (Women) - Canada,5,39.0,2.0,41.0,21.0,2.0,23.0,82.0,38.0,12.0,85.0,34.0,3.0,5.0,27.0,17.0
11,Haley Irwin,F,Olympic (Women) - Canada,5,10.0,2.0,12.0,7.0,0.0,7.0,51.0,18.0,4.0,41.0,2.0,1.0,2.0,9.0,9.0
12,Rebecca Johnston,F,Olympic (Women) - Canada,10,77.0,3.0,80.0,40.0,0.0,40.0,218.0,77.0,16.0,179.0,56.0,8.0,6.0,48.0,42.0
13,Brianne Jenner,F,Olympic (Women) - Canada,10,54.0,3.0,57.0,23.0,2.0,25.0,150.0,69.0,28.0,151.0,42.0,4.0,2.0,38.0,33.0
14,Yevgenia Dyupina,F,Olympic (Women) - Olympic Athletes from Russia,2,2.0,0.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,18.0,1.0,0.0,1.0,0.0,0.0
15,Yekaterina Smolina,F,Olympic (Women) - Olympic Athletes from Russia,2,2.0,0.0,2.0,1.0,0.0,1.0,7.0,7.0,5.0,16.0,4.0,0.0,0.0,0.0,0.0
16,Natalie Spooner,F,Olympic (Women) - Canada,10,44.0,0.0,44.0,9.0,2.0,11.0,75.0,66.0,23.0,112.0,33.0,9.0,2.0,36.0,23.0
17,Fanuza Kadirova,F,Olympic (Women) - Olympic Athletes from Russia,1,2.0,0.0,2.0,0.0,0.0,0.0,4.0,6.0,1.0,12.0,3.0,0.0,1.0,1.0,0.0
18,Bailey Bram,F,Olympic (Women) - Canada,4,3.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0
19,Jillian Saulnier,F,Olympic (Women) - Canada,10,18.0,1.0,19.0,23.0,0.0,23.0,85.0,32.0,15.0,65.0,19.0,4.0,1.0,16.0,10.0
20,Jennifer Wakefield,F,Olympic (Women) - Canada,5,24.0,2.0,26.0,7.0,0.0,7.0,32.0,20.0,5.0,41.0,14.0,2.0,3.0,11.0,12.0
21,Alevtina Shtaryova,F,Olympic (Women) - Olympic Athletes from Russia,2,1.0,0.0,1.0,3.0,0.0,3.0,14.0,8.0,4.0,16.0,6.0,0.0,0.0,1.0,1.0
22,Blayre Turnbull,F,Olympic (Women) - Canada,10,20.0,1.0,21.0,12.0,0.0,12.0,93.0,39.0,16.0,104.0,27.0,5.0,4.0,10.0,9.0
23,Alyona Starovoitova,F,Olympic (Women) - Olympic Athletes from Russia,2,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0
24,Diana Kanayeva,F,Olympic (Women) - Olympic Athletes from Russia,2,1.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,1.0,8.0,2.0,1.0,0.0,1.0,0.0
25,Venla Hovi,F,Olympic (Women) - Finland,3,5.0,0.0,5.0,1.0,0.0,1.0,17.0,13.0,7.0,24.0,6.0,2.0,0.0,4.0,1.0
26,Linda Valimaki,F,Olympic (Women) - Finland,3,4.0,0.0,4.0,4.0,0.0,4.0,15.0,8.0,9.0,25.0,7.0,0.0,0.0,2.0,1.0
27,Annina Rajahuhta,F,Olympic (Women) - Finland,3,3.0,0.0,3.0,1.0,0.0,1.0,7.0,2.0,3.0,9.0,2.0,1.0,1.0,3.0,1.0
28,Sanni Hakala,F,Olympic (Women) - Finland,2,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0
29,Emma Nuutinen,F,Olympic (Women) - Finland,3,2.0,0.0,2.0,2.0,0.0,2.0,12.0,7.0,1.0,13.0,3.0,1.0,0.0,3.0,1.0
30,Noora Tulus,F,Olympic (Women) - Finland,3,5.0,0.0,5.0,8.0,1.0,9.0,38.0,9.0,3.0,21.0,5.0,1.0,0.0,3.0,2.0
31,Tanja Niskanen,F,Olympic (Women) - Finland,3,6.0,0.0,6.0,2.0,0.0,2.0,15.0,3.0,3.0,20.0,6.0,1.0,0.0,0.0,3.0
32,Susanna Tapani,F,Olympic (Women) - Finland,3,11.0,2.0,13.0,11.0,0.0,11.0,62.0,24.0,10.0,55.0,19.0,2.0,1.0,9.0,9.0
33,Riikka Sallinen,F,Olympic (Women) - Finland,3,4.0,1.0,5.0,5.0,0.0,5.0,39.0,14.0,5.0,38.0,4.0,1.0,2.0,6.0,4.0
34,Michelle Karvinen,F,Olympic (Women) - Finland,3,15.0,0.0,15.0,6.0,0.0,6.0,66.0,17.0,7.0,48.0,16.0,1.0,2.0,10.0,2.0
35,Petra Nieminen,F,Olympic (Women) - Finland,3,10.0,0.0,10.0,3.0,1.0,4.0,26.0,6.0,10.0,31.0,13.0,2.0,2.0,1.0,6.0
36,Sara Sakkinen,F,Olympic (Women) - Finland,1,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0
37,Saila Saari,F,Olympic (Women) - Finland,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
38,Dani Cameranesi,F,Olympic (Women) - United States,7,23.0,0.0,23.0,20.0,1.0,21.0,105.0,59.0,12.0,102.0,25.0,3.0,4.0,15.0,13.0
39,Brianna Decker,F,Olympic (Women) - United States,7,35.0,1.0,36.0,34.0,0.0,34.0,186.0,44.0,30.0,111.0,31.0,10.0,4.0,19.0,15.0
40,Kendall Coyne Schofield,F,Olympic (Women) - United States,7,40.0,2.0,42.0,15.0,1.0,16.0,118.0,60.0,18.0,132.0,47.0,1.0,10.0,28.0,19.0
41,Hannah Brandt,F,Olympic (Women) - United States,6,15.0,1.0,16.0,14.0,0.0,14.0,99.0,51.0,12.0,85.0,10.0,1.0,3.0,17.0,11.0
42,Kelly Pannek,F,Olympic (Women) - United States,4,16.0,0.0,16.0,21.0,0.0,21.0,77.0,20.0,8.0,58.0,19.0,2.0,2.0,13.0,9.0
43,Monique Lamoureux,F,Olympic (Women) - United States,2,9.0,1.0,10.0,7.0,0.0,7.0,41.0,5.0,4.0,18.0,7.0,0.0,3.0,4.0,3.0
44,Meghan Duggan,F,Olympic (Women) - United States,2,6.0,0.0,6.0,4.0,0.0,4.0,17.0,7.0,6.0,12.0,4.0,0.0,0.0,3.0,5.0
45,Amanda Pelkey,F,Olympic (Women) - United States,5,8.0,0.0,8.0,0.0,0.0,0.0,18.0,9.0,2.0,17.0,6.0,4.0,0.0,4.0,3.0
46,Gigi Marvin,F,Olympic (Women) - United States,4,9.0,0.0,9.0,7.0,0.0,7.0,24.0,11.0,3.0,23.0,11.0,0.0,3.0,3.0,7.0
47,Hilary Knight,F,Olympic (Women) - United States,7,48.0,3.0,51.0,24.0,0.0,24.0,144.0,36.0,6.0,107.0,31.0,5.0,8.0,27.0,23.0
48,Amanda Kessel,F,Olympic (Women) - United States,7,25.0,0.0,25.0,27.0,0.0,27.0,110.0,41.0,14.0,77.0,29.0,4.0,3.0,17.0,16.0
49,Jocelyne Lamoureux,F,Olympic (Women) - United States,2,9.0,0.0,9.0,6.0,0.0,6.0,37.0,16.0,2.0,19.0,10.0,0.0,1.0,8.0,5.0
50,Haley Skarupa,F,Olympic (Women) - United States,5,5.0,0.0,5.0,0.0,0.0,0.0,8.0,4.0,2.0,7.0,2.0,0.0,0.0,2.0,3.0
51,Viktoria Kulishova,F,Olympic (Women) - Olympic Athletes from Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0
52,Yekaterina Likhachyova,F,Olympic (Women) - Olympic Athletes from Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
53,Kayla Nielsen,F,St. Lawrence Saints,2,10.0,0.0,10.0,7.0,0.0,7.0,25.0,5.0,4.0,23.0,5.0,1.0,0.0,3.0,7.0
54,Justine Reyes,F,St. Lawrence Saints,2,11.0,1.0,12.0,4.0,1.0,5.0,19.0,13.0,5.0,31.0,13.0,1.0,0.0,7.0,6.0
55,Cassidy Vinkle,F,Clarkson Golden Knights,2,8.0,0.0,8.0,4.0,0.0,4.0,25.0,11.0,7.0,27.0,7.0,2.0,0.0,6.0,5.0
56,Taylar Cianfarano,F,Clarkson Golden Knights,2,11.0,0.0,11.0,5.0,0.0,5.0,31.0,8.0,6.0,30.0,15.0,1.0,0.0,4.0,8.0
57,Rachael Smith,F,St. Lawrence Saints,2,12.0,0.0,12.0,5.0,0.0,5.0,22.0,13.0,6.0,29.0,10.0,1.0,2.0,5.0,5.0
58,Kelly Mariani,F,Clarkson Golden Knights,2,4.0,0.0,4.0,4.0,0.0,4.0,36.0,8.0,7.0,27.0,10.0,0.0,0.0,3.0,1.0
59,Kalie Grant,F,St. Lawrence Saints,2,5.0,0.0,5.0,3.0,0.0,3.0,19.0,6.0,5.0,27.0,5.0,2.0,0.0,3.0,5.0
60,Loren Gabel,F,Clarkson Golden Knights,4,37.0,3.0,40.0,13.0,1.0,14.0,88.0,26.0,3.0,69.0,23.0,0.0,1.0,19.0,16.0
61,Nadine Edney,F,St. Lawrence Saints,2,10.0,1.0,11.0,13.0,0.0,13.0,34.0,12.0,6.0,31.0,11.0,0.0,0.0,6.0,5.0
62,Maggie McLaughlin,F,St. Lawrence Saints,2,10.0,0.0,10.0,2.0,0.0,2.0,9.0,17.0,2.0,24.0,4.0,1.0,1.0,2.0,6.0
63,Steph Keryluk,F,St. Lawrence Saints,2,8.0,0.0,8.0,1.0,0.0,1.0,23.0,10.0,2.0,18.0,5.0,1.0,0.0,5.0,2.0
64,Michala Pejzlova,F,Clarkson Golden Knights,2,6.0,0.0,6.0,11.0,0.0,11.0,58.0,16.0,3.0,46.0,10.0,0.0,0.0,9.0,6.0
65,Elizabeth Giguere,F,Clarkson Golden Knights,2,17.0,3.0,20.0,5.0,1.0,6.0,38.0,26.0,3.0,27.0,16.0,3.0,0.0,13.0,11.0
66,Taylor Sawka,F,Clarkson Golden Knights,2,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
67,Morgan Helgeson,F,Clarkson Golden Knights,2,3.0,2.0,5.0,3.0,0.0,3.0,24.0,4.0,0.0,16.0,3.0,0.0,1.0,1.0,3.0
68,Kristy Pidgeon,F,Clarkson Golden Knights,2,10.0,0.0,10.0,5.0,0.0,5.0,25.0,10.0,3.0,35.0,4.0,4.0,0.0,3.0,4.0
69,Charlea Pedersen,F,St. Lawrence Saints,2,1.0,0.0,1.0,0.0,0.0,0.0,12.0,6.0,4.0,17.0,2.0,1.0,0.0,2.0,0.0
70,Tia Stoddard,F,Clarkson Golden Knights,2,5.0,0.0,5.0,2.0,0.0,2.0,13.0,9.0,3.0,19.0,1.0,0.0,0.0,2.0,2.0
71,Jessica Poirier,F,St. Lawrence Saints,2,2.0,0.0,2.0,0.0,0.0,0.0,13.0,8.0,4.0,18.0,0.0,0.0,0.0,2.0,1.0
