Player,Position,Team,Shot Index,PSA Index,Passing Index,Entry Index,Danger Pass Index,Danger Shot Index,Takeaways Index,Puck Recovery Index,labels
Emily Clark,F,Olympic (Women) - Canada,-0.6759720106890296,-0.4769177021987187,-0.5631195025175781,-0.5384541875831649,-0.6170613169896456,-0.6815857381935083,-0.27559709744857436,-0.2996070752171539,3
Sarah Nurse,F,Olympic (Women) - Canada,0.17565865908561235,-0.42069337700677545,-0.4313406312725495,0.319271333330519,-0.30461585206189257,0.20782986251231084,-0.4692599006783323,-0.191107298484926,1
Lyudmila Belyakova,F,Olympic (Women) - Olympic Athletes from Russia,0.2931303513256489,-0.5325878449738948,-0.4769885944519899,-0.4804535854416647,-0.645973371296328,1.0656098755248744,-0.2753983466242412,-0.4701895484399786,1
Olga Sosina,F,Olympic (Women) - Olympic Athletes from Russia,2.286165624791188,0.8994699001703489,0.5936208512513786,-0.4804535854416647,-0.21196709267012115,-0.6988299010680286,-0.2753983466242412,0.12117432692946399,1
Valeria Pavlova,F,Olympic (Women) - Olympic Athletes from Russia,3.6563773752987467,-0.6280583613168443,-0.41963451700359505,2.7213198354933557,-0.645973371296328,8.233646467933545,-0.2753983466242412,0.6249287392812113,4
Laura Stacey,F,Olympic (Women) - Canada,-0.4610288970939,-0.4757085769257734,-0.7907852524198066,-0.4548001469114059,-0.6922218093861551,-0.5365431682378201,-0.531508658859326,-0.6765909505805017,3
Marie-Philip Poulin,F,Olympic (Women) - Canada,0.20401920879608082,2.4189373265045764,2.3989920963559332,0.4338882332119551,0.40012225216403957,-0.028223567058901663,2.0299124648104514,0.8737434073275783,2
Melodie Daoust,F,Olympic (Women) - Canada,-0.2200320727599669,0.17147572541804212,0.8452855009782361,-0.1822649049455272,0.12760037442149894,0.4047965229012776,-0.5226159791191833,0.07021148865606118,1
Yelena Dergachyova,F,Olympic (Women) - Olympic Athletes from Russia,-0.5476814046676258,-0.2461762959450461,0.4980307221707208,0.3450036246431454,0.5113767050402237,-0.2577199569198028,0.2268449864644275,1.3778225620895297,1
Anna Shokhina,F,Olympic (Women) - Olympic Athletes from Russia,-0.049422586301240794,-0.6280583613168443,0.5936208512513786,-0.2553288917821711,0.5113767050402237,-0.6988299010680286,0.8725864147212872,1.0602382586503845,1
Meghan Agosta,F,Olympic (Women) - Canada,0.8232019280729596,0.49128936011199653,-0.054921409126623424,1.035762759603571,0.9809236553019626,0.07639102104652197,-0.2571530209505019,0.15698181304771602,1
Haley Irwin,F,Olympic (Women) - Canada,-0.7193948619203689,-0.5243758691618099,-0.6928090466555583,-0.8535148602430362,-0.593801487933913,-0.48155344884907153,-0.8473634688888122,-0.7969509770348184,3
Rebecca Johnston,F,Olympic (Women) - Canada,2.390224071883917,1.0647170208061667,1.871679259776906,1.7810442128610595,2.00886923491427,1.6670692453161715,-0.3309293269427903,1.6703865488289082,0
Brianne Jenner,F,Olympic (Women) - Canada,0.7548109373836005,0.0331820223249566,0.5790948281745449,0.3708760986799809,0.9639127355447847,0.76175069440385,0.8863797219299746,0.8754425570934633,1
Yevgenia Dyupina,F,Olympic (Women) - Olympic Athletes from Russia,-0.7033872854071211,-0.6280583613168443,-0.9137619534820729,-0.7806198436543229,-0.7906421308383971,-0.6988299010680286,-0.9211397748811008,-0.19914777222898425,3
Yekaterina Smolina,F,Olympic (Women) - Olympic Athletes from Russia,-0.7033872854071211,-0.5325878449738948,-0.7196404605798138,-0.4804535854416647,-0.7906421308383971,-0.6988299010680286,0.8725864147212872,-0.3853178811415866,3
Natalie Spooner,F,Olympic (Women) - Canada,0.222881009799694,-0.5000422230437919,-0.35004122648945013,0.17097553395785547,0.7840830123974781,0.010671600313627749,0.2984747835539232,-0.006996893472604239,1
Fanuza Kadirova,F,Olympic (Women) - Olympic Athletes from Russia,-0.5788225808155248,-0.6280583613168443,-0.7137579910979271,-0.08023190782478722,-0.5013046117542591,-0.6988299010680286,-0.77764167971291,-0.29770841812389137,3
Bailey Bram,F,Olympic (Women) - Canada,-0.8157393130899033,-0.6254133997822773,-1.004903465017054,-0.8806752630585422,-0.7906421308383971,-0.6854177743878463,-0.9211397748811008,-1.078450624324686,3
Jillian Saulnier,F,Olympic (Women) - Canada,-0.6520894425117932,-0.06838450060242413,-0.5549276385435616,-0.5677874226239116,-0.4795853124214344,-0.5647086342662035,-0.4024001233728207,-0.7227045847331204,3
Jennifer Wakefield,F,Olympic (Women) - Canada,-0.20266293226743148,-0.5243758691618099,-0.8289367435532675,-0.48847904640263357,-0.49659623217861204,-0.31256065267877137,-0.8058642967681501,-0.7969509770348184,3
Alevtina Shtaryova,F,Olympic (Women) - Olympic Athletes from Russia,-0.7968108138508182,0.23117628576970164,-0.2961026578839756,0.01982351157943209,-0.645973371296328,-0.5885524150309723,0.2268449864644275,-0.3853178811415866,3
